x,y,ys
0,1,1.019768038
0.01,0.99995,1.014900527
0.02,0.999800007,1.096631238
0.03,0.999550034,1.066515649
0.04,0.999200107,1.076291346
0.05,0.99875026,1.081029609
0.06,0.99820054,1.080588777
0.07,0.997551,1.09128925
0.08,0.996801706,1.051211536
0.09,0.995952733,1.004802939
0.1,0.995004165,1.022461015
0.11,0.993956098,1.014604635
0.12,0.992808636,1.000574631
0.13,0.991561894,1.000664364
0.14,0.990215996,1.037400863
0.15,0.988771078,1.034757147
0.16,0.987227283,1.015997488
0.17,0.985584767,1.044004613
0.18,0.983843693,0.992340466
0.19,0.982004235,1.078789138
0.2,0.980066578,0.995024664
0.21,0.978030915,1.072547193
0.22,0.975897449,1.062288676
0.23,0.973666395,1.001099007
0.24,0.971337975,0.997540758
0.25,0.968912422,1.048081779
0.26,0.966389978,0.972724479
0.27,0.963770896,1.009099617
0.28,0.961055438,1.021397137
0.29,0.958243876,1.040709334
0.3,0.955336489,0.988796905
0.31,0.95233357,1.021584498
0.32,0.949235418,1.03005576
0.33,0.946042344,0.963670431
0.34,0.942754666,1.025583843
0.35,0.939372713,1.001689496
0.36,0.935896824,1.021630118
0.37,0.932327346,0.950502291
0.38,0.928664636,0.961454494
0.39,0.92490906,1.021610002
0.4,0.921060994,0.931394014
0.41,0.917120823,0.927993284
0.42,0.91308894,1.000075917
0.43,0.90896575,0.946997207
0.44,0.904751663,0.956711704
0.45,0.900447102,0.953423019
0.46,0.896052498,0.916941069
0.47,0.891568288,0.987946912
0.48,0.886994923,0.937995131
0.49,0.882332859,0.90420841
0.5,0.877582562,0.878734533
0.51,0.872744508,0.969464684
0.52,0.86781918,0.888456252
0.53,0.862807071,0.92864815
0.54,0.857708681,0.877273339
0.55,0.852524522,0.949482215
0.56,0.847255111,0.880410393
0.57,0.841900975,0.907541831
0.58,0.83646265,0.908827434
0.59,0.830940679,0.913600777
0.6,0.825335615,0.866324679
0.61,0.819648018,0.905141675
0.62,0.813878457,0.823021325
0.63,0.808027508,0.873190035
0.64,0.802095758,0.852351733
0.65,0.796083799,0.82933854
0.66,0.789992231,0.873355354
0.67,0.783821666,0.838037645
0.68,0.777572719,0.851124991
0.69,0.771246015,0.777561621
0.7,0.764842187,0.862947194
0.71,0.758361876,0.778364342
0.72,0.751805729,0.793901007
0.73,0.745174402,0.78036401
0.74,0.738468559,0.803275863
0.75,0.731688869,0.749367367
0.76,0.724836011,0.784167105
0.77,0.71791067,0.779017404
0.78,0.710913538,0.724552219
0.79,0.703845316,0.766533946
0.8,0.696706709,0.781291394
0.81,0.689498433,0.76996439
0.82,0.682221207,0.703145773
0.83,0.67487576,0.686815099
0.84,0.667462826,0.694353209
0.85,0.659983146,0.684068196
0.86,0.652437468,0.683570758
0.87,0.644826547,0.680119731
0.88,0.637151144,0.699417543
0.89,0.629412027,0.723968113
0.9,0.621609968,0.700774902
0.91,0.613745749,0.699126942
0.92,0.605820157,0.609282684
0.93,0.597833982,0.683458858
0.94,0.589788025,0.650551783
0.95,0.581683089,0.651443353
0.96,0.573519986,0.579995474
0.97,0.565299531,0.612902462
0.98,0.557022547,0.578834079
0.99,0.548689861,0.644546251
1,0.540302306,0.621538929
1.01,0.531860721,0.594582057
1.02,0.523365951,0.533581125
1.03,0.514818845,0.608863931
1.04,0.506220257,0.584356674
1.05,0.497571048,0.581932085
1.06,0.488872082,0.52254195
1.07,0.480124229,0.519113598
1.08,0.471328364,0.518582108
1.09,0.462485367,0.474912377
1.1,0.453596121,0.468564567
1.11,0.444661517,0.504048609
1.12,0.435682446,0.447775912
1.13,0.426659808,0.470015698
1.14,0.417594504,0.453116875
1.15,0.408487441,0.507035273
1.16,0.399339529,0.41989276
1.17,0.390151684,0.394896096
1.18,0.380924824,0.39691862
1.19,0.371659872,0.374064694
1.2,0.362357754,0.452923348
1.21,0.353019401,0.353463334
1.22,0.343645746,0.365805859
1.23,0.334237727,0.394237777
1.24,0.324796284,0.383236328
1.25,0.315322362,0.33730004
1.26,0.305816908,0.37748427
1.27,0.296280873,0.366941724
1.28,0.28671521,0.357474974
1.29,0.277120875,0.360170675
1.3,0.267498829,0.309636471
1.31,0.257850033,0.351489621
1.32,0.248175452,0.27574146
1.33,0.238476053,0.32175757
1.34,0.228752808,0.27894479
1.35,0.219006687,0.318803376
1.36,0.209238666,0.298953647
1.37,0.199449721,0.218349967
1.38,0.189640831,0.216233032
1.39,0.179812978,0.227561655
1.4,0.169967143,0.19979742
1.41,0.160104312,0.19652251
1.42,0.15022547,0.238706338
1.43,0.140331606,0.239528676
1.44,0.130423709,0.206782723
1.45,0.120502769,0.19362316
1.46,0.11056978,0.186056772
1.47,0.100625733,0.194021959
1.48,0.090671624,0.104132239
1.49,0.080708448,0.175847956
1.5,0.070737202,0.131379055
1.51,0.060758881,0.158882735
1.52,0.050774485,0.090342774
1.53,0.040785011,0.127652975
1.54,0.030791459,0.083477466
1.55,0.020794828,0.072569888
1.56,0.010796117,0.055986527
1.57,0.000796327,0.004335858
1.58,-0.009203543,0.085593562
1.59,-0.019202493,0.036009548
1.6,-0.029199522,-0.02446002
1.61,-0.039193632,-0.002530388
1.62,-0.049183822,0.033550009
1.63,-0.059169094,-0.033021529
1.64,-0.069148449,0.014682387
1.65,-0.079120889,-0.000999475
1.66,-0.089085417,-0.054475021
1.67,-0.099041037,-0.007130703
1.68,-0.108986752,-0.022393867
1.69,-0.118921569,-0.020593277
1.7,-0.128844494,-0.034957618
1.71,-0.138754535,-0.069801734
1.72,-0.1486507,-0.118247814
1.73,-0.158532001,-0.12377566
