x,y,ys
0,0,0.023338137
0.01,0.1,0.244941252
0.02,0.141421356,0.148944096
0.03,0.173205081,0.197750875
0.04,0.2,0.332901401
0.05,0.223606798,0.25121828
0.06,0.244948974,0.359784345
0.07,0.264575131,0.277118514
0.08,0.282842712,0.297326682
0.09,0.3,0.339885665
0.1,0.316227766,0.449733331
0.11,0.331662479,0.352473965
0.12,0.346410162,0.434437349
0.13,0.360555128,0.455089347
0.14,0.374165739,0.459092772
0.15,0.387298335,0.431224073
0.16,0.4,0.514055912
0.17,0.412310563,0.484039831
0.18,0.424264069,0.452467149
0.19,0.435889894,0.565036983
0.2,0.447213595,0.541731089
0.21,0.458257569,0.462810492
0.22,0.469041576,0.514958473
0.23,0.479583152,0.592909224
0.24,0.489897949,0.610909642
0.25,0.5,0.633627928
0.26,0.509901951,0.61276341
0.27,0.519615242,0.620210239
0.28,0.529150262,0.626486963
0.29,0.538516481,0.586923525
0.3,0.547722558,0.689516348
0.31,0.556776436,0.623800359
0.32,0.565685425,0.567767583
0.33,0.574456265,0.636166289
0.34,0.583095189,0.643706635
0.35,0.591607978,0.72645869
0.36,0.6,0.746210888
0.37,0.608276253,0.669902073
0.38,0.6164414,0.720044496
0.39,0.6244998,0.64155854
0.4,0.632455532,0.652256742
0.41,0.640312424,0.731910142
0.42,0.64807407,0.649754684
0.43,0.655743852,0.740376522
0.44,0.663324958,0.759405902
0.45,0.670820393,0.709272726
0.46,0.678232998,0.694049846
0.47,0.68556546,0.757610798
0.48,0.692820323,0.735457872
0.49,0.7,0.741528421
0.5,0.707106781,0.792714774
0.51,0.714142843,0.776007542
0.52,0.721110255,0.773344598
0.53,0.728010989,0.777366728
0.54,0.734846923,0.767224443
0.55,0.741619849,0.865432155
0.56,0.748331477,0.764021662
0.57,0.754983444,0.780591106
0.58,0.761577311,0.840227879
0.59,0.768114575,0.828088923
0.6,0.774596669,0.778056814
0.61,0.781024968,0.868787402
0.62,0.787400787,0.89401331
0.63,0.793725393,0.858880125
0.64,0.8,0.86981836
0.65,0.806225775,0.875040698
0.66,0.81240384,0.940502328
0.67,0.818535277,0.870391558
0.68,0.824621125,0.91020349
0.69,0.830662386,0.890165779
0.7,0.836660027,0.951007727
0.71,0.842614977,0.856369479
0.72,0.848528137,0.850982843
0.73,0.854400375,0.945902305
0.74,0.860232527,0.940587664
0.75,0.866025404,1.004806938
0.76,0.871779789,0.96967032
0.77,0.877496439,0.912199321
0.78,0.883176087,1.021958584
0.79,0.888819442,0.908371936
0.8,0.894427191,1.023750471
0.81,0.9,0.973820781
0.82,0.905538514,1.012599028
0.83,0.911043358,0.960937717
0.84,0.916515139,1.035548083
0.85,0.921954446,0.925694288
0.86,0.92736185,0.961447474
0.87,0.932737905,0.976714742
0.88,0.938083152,1.012332931
0.89,0.943398113,0.981059835
0.9,0.948683298,0.999389915
0.91,0.953939201,1.045092669
0.92,0.959166305,1.041742299
0.93,0.964365076,0.964711865
0.94,0.969535971,0.999267772
0.95,0.974679434,1.09942518
0.96,0.979795897,1.086949124
0.97,0.98488578,1.057473454
0.98,0.989949494,0.990071795
0.99,0.994987437,1.053520715
1,1,1.048969744
1.01,1.004987562,1.009214741
1.02,1.009950494,1.039590226
1.03,1.014889157,1.087390375
1.04,1.019803903,1.032745053
1.05,1.024695077,1.082771498
1.06,1.029563014,1.055330023
1.07,1.034408043,1.099377571
1.08,1.039230485,1.114791654
1.09,1.044030651,1.062919819
1.1,1.048808848,1.127393199
1.11,1.053565375,1.151608032
1.12,1.058300524,1.136158922
1.13,1.063014581,1.210077365
1.14,1.067707825,1.209153973
1.15,1.072380529,1.162124402
1.16,1.077032961,1.100253276
1.17,1.081665383,1.196457454
1.18,1.086278049,1.096395677
1.19,1.090871211,1.173476865
1.2,1.095445115,1.1881332
1.21,1.1,1.165306992
1.22,1.104536102,1.207350269
1.23,1.109053651,1.119744033
1.24,1.113552873,1.197236956
1.25,1.118033989,1.136762646
1.26,1.122497216,1.209089402
1.27,1.126942767,1.147865245
1.28,1.13137085,1.258384819
1.29,1.135781669,1.181365777
1.3,1.140175425,1.192802388
1.31,1.144552314,1.254700979
1.32,1.148912529,1.195860428
1.33,1.153256259,1.245040148
1.34,1.15758369,1.222624719
1.35,1.161895004,1.265242385
1.36,1.166190379,1.282919894
1.37,1.170469991,1.236592654
1.38,1.174734012,1.226196105
1.39,1.178982612,1.272601688
1.4,1.183215957,1.240211701
1.41,1.187434209,1.275653298
1.42,1.191637529,1.332755641
1.43,1.195826074,1.265702858
1.44,1.2,1.290236041
1.45,1.204159458,1.324722203
1.46,1.208304597,1.210483552
1.47,1.212435565,1.301715194
1.48,1.216552506,1.332302803
1.49,1.220655562,1.302439736
1.5,1.224744871,1.257763181
1.51,1.228820573,1.333316792
1.52,1.232882801,1.363272865
1.53,1.236931688,1.353338636
1.54,1.240967365,1.367175185
1.55,1.24498996,1.341014203
1.56,1.2489996,1.287140994
1.57,1.252996409,1.303195074
1.58,1.256980509,1.386232455
1.59,1.260952021,1.286609373
1.6,1.264911064,1.386152207
1.61,1.268857754,1.417108145
1.62,1.272792206,1.386892503
1.63,1.276714533,1.392561073
1.64,1.280624847,1.360311181
1.65,1.284523258,1.354799113
1.66,1.288409873,1.317531873
